District,Building name,Last date of visit of the case(s),Related cases
Eastern,Tak Fat Building,24/07/2022,
Eastern,"Lok Yee House, Yee Tsui Court",24/07/2022,
Eastern,"Yat Yee House, Yee Tsui Court",24/07/2022,
Eastern,Hang Lung Bank Eastern Branch Building,24/07/2022,
Eastern,"Block A, Westlands Gardens",24/07/2022,
Eastern,"Oi Chak House, Oi Tung Estate",24/07/2022,
Eastern,"Block 10, Aldrich Garden",24/07/2022,
Eastern,"Block 6, Aldrich Garden",24/07/2022,
Eastern,"Block 8, Aldrich Garden",24/07/2022,
Eastern,"Block C, Sunway Gardens",24/07/2022,
Eastern,"Block D, Sunway Gardens",24/07/2022,
Eastern,Yu Wai Mansion,24/07/2022,
Eastern,Ming Court,24/07/2022,
Eastern,"Block 2, Ming Wah Dai Ha",24/07/2022,
Eastern,"Block 22, Heng Fa Chuen",24/07/2022,
Eastern,"Block 35, Heng Fa Chuen",24/07/2022,
Eastern,"Block 36, Heng Fa Chuen",24/07/2022,
Eastern,"Block 38, Heng Fa Chuen",24/07/2022,
Eastern,"Block 43, Heng Fa Chuen",24/07/2022,
Eastern,"Block 47, Heng Fa Chuen",24/07/2022,
Eastern,"Block 48, Heng Fa Chuen",24/07/2022,
Eastern,"Tung Ning House, Tung Yuk Court",24/07/2022,
Eastern,"Yuk Tao House, Tung Tao Court",24/07/2022,
Eastern,"Ying Tao House, Tung Tao Court",24/07/2022,
Eastern,"Hiu Tao House, Tung Tao Court",24/07/2022,
Eastern,"Yiu Hei House, Tung Hei Court",24/07/2022,
Eastern,"Yat Hei House, Tung Hei Court",24/07/2022,
Eastern,Tung Shing Court,24/07/2022,
Eastern,Tung Lam Court,24/07/2022,
Eastern,"Kam Chun House, Tung Chun Court",24/07/2022,
Eastern,"Ngan Chun House, Tung Chun Court",24/07/2022,
Eastern,"Tower 1, Fleur Pavilia",24/07/2022,
Eastern,"Block 1, Chai Wan Police Married Quarters",24/07/2022,
Eastern,"Block 2, Chai Wan Police Married Quarters",24/07/2022,
Eastern,Chai Wan Cinema Building,24/07/2022,
Eastern,"Wan Poon House, Chai Wan Estate",24/07/2022,
Eastern,"Cheung Pak Mansion, Parkvale",24/07/2022,
Eastern,"Tower 1, Neptune Terrace",24/07/2022,
Eastern,"Tower 2, Neptune Terrace",24/07/2022,
Eastern,Harmony Place,24/07/2022,
Eastern,Lok Hin Terrace,24/07/2022,
Eastern,"Block 2, Lok Hin Terrace",24/07/2022,
Eastern,"Block 4, Lok Hin Terrace",24/07/2022,
Eastern,"Block 1, Felicity Garden",24/07/2022,
Eastern,Hollywood Court,24/07/2022,
Eastern,Montane Mansion,24/07/2022,
Eastern,Oceanic Mansion,24/07/2022,
Eastern,Chai Wan Rank & File Married Quarters,24/07/2022,
Eastern,Two Island Place,24/07/2022,
Eastern,"Yue Chun House, Yue Wan Estate",24/07/2022,
Eastern,"Block C1, Coral Court",24/07/2022,
Eastern,"Lee Tsui House, Wan Tsui Estate",24/07/2022,
Eastern,"Yee Tsui House, Wan Tsui Estate",24/07/2022,
Eastern,Pak Ling Mansion,24/07/2022,
Eastern,Pak Fook Building,24/07/2022,
Eastern,"Pak Hee Court, Bedford Gardens",24/07/2022,
Eastern,Yick Fat Building,24/07/2022,
Eastern,"Block A, Belleve Court",24/07/2022,
Eastern,Mary Court,24/07/2022,
Eastern,"Tsui Fuk House, Tsui Wan Estate",24/07/2022,
Eastern,"Yiu Cheong House, Yiu Tung Estate",24/07/2022,
Eastern,"Yiu Hing House, Yiu Tung Estate",24/07/2022,
Eastern,"Yiu Fai House, Yiu Tung Estate",24/07/2022,
Eastern,"Hing Fung House, Hing Tung Estate",24/07/2022,
Eastern,"Man Chak House, Hing Man Estate",24/07/2022,
Eastern,"Man Yat House, Hing Man Estate",24/07/2022,
Eastern,"Cheuk Wah House, Hing Wah Estate",24/07/2022,
Eastern,King's View Court,24/07/2022,
Eastern,Wah Hai Mansion,24/07/2022,
Eastern,"Ngar Lan Mansion, Westlands Court",24/07/2022,
Eastern,Waldorf Apartments,24/07/2022,
Eastern,"Tower 2, Island Resort",24/07/2022,
Eastern,"Tower 7, Island Resort",24/07/2022,
Eastern,"Tower 8, Island Resort",24/07/2022,
Eastern,"Block 1, Oxford Court",24/07/2022,
Eastern,"Block 1, Le Sommet",24/07/2022,
Eastern,Fung Yuen Building,24/07/2022,
Eastern,"Tower 1, The Floridian",24/07/2022,
Eastern,"L'Automne, Les Saisons",24/07/2022,
Eastern,Golden Mansion,24/07/2022,
Eastern,"Phase 2, Kam Hoi Mansion",24/07/2022,
Eastern,Artview Court,24/07/2022,
Eastern,Shun King Building,24/07/2022,
Eastern,"Tower 2, Island Garden",24/07/2022,
Eastern,"Tower 3, Island Garden",24/07/2022,
Eastern,"Block 2, Koway Court",24/07/2022,
Eastern,Hung Lee Building,24/07/2022,
Eastern,Hung Fook Building,24/07/2022,
Eastern,Lai Wan Building,24/07/2022,
Eastern,Dragon View House,24/07/2022,
Eastern,Chung Hing Mansion,23/07/2022,
Eastern,"Hin Tsui House, Kai Tsui Court",23/07/2022,
Eastern,"Block A, Healthy Gardens",23/07/2022,
Eastern,"Hong Wang Court, Healthy Village",23/07/2022,
Eastern,"Hong Fai Court, Healthy Village",23/07/2022,
Eastern,"Chung Shu Lau, Healthy Village",23/07/2022,
Eastern,"Block A, North Point Centre",23/07/2022,
Eastern,Novum East,23/07/2022,
Eastern,"Block 14, Provident Centre",23/07/2022,
Eastern,"Block 6, Provident Centre",23/07/2022,
Eastern,"Tower 5, Grand Promenade",23/07/2022,
Eastern,"Tower 6, Grand Promenade",23/07/2022,
Eastern,"Block 13, City Garden",23/07/2022,
Eastern,"Block 4, City Garden",23/07/2022,
Eastern,"Block 5, City Garden",23/07/2022,
Eastern,"Block B, Tempo Court",23/07/2022,
Eastern,"Tang Kung Mansion, Taikoo Shing",23/07/2022,
Eastern,"Kai Tien Mansion, Taikoo Shing",23/07/2022,
Eastern,"Heng Shan Mansion, Taikoo Shing",23/07/2022,
Eastern,"Hoi Tien Mansion, Taikoo Shing",23/07/2022,
Eastern,"Willow Mansion, Taikoo Shing",23/07/2022,
Eastern,"Marigold Mansion, Taikoo Shing",23/07/2022,
Eastern,"Kam Shan Mansion, Taikoo Shing",23/07/2022,
Eastern,"Tsui Kung Mansion, Taikoo Shing",23/07/2022,
Eastern,"Lotus Mansion, Taikoo Shing",23/07/2022,
Eastern,"Pine Mansion, Taikoo Shing",23/07/2022,
Eastern,"Shun On Mansion, Taikoo Shing",23/07/2022,
Eastern,Tai On Building,23/07/2022,
Eastern,Tai Lung House,23/07/2022,
Eastern,On Ning Building,23/07/2022,
Eastern,Wang Fai Mansion,23/07/2022,
Eastern,Wealthy Court,23/07/2022,
Eastern,"Block 10, Fullview Garden",23/07/2022,
Eastern,"Block 5, Fullview Garden",23/07/2022,
Eastern,"Block 8, Harmony Garden",23/07/2022,
Eastern,"Block 4, Beverley Heights",23/07/2022,
Eastern,"Golden Maple Court, Full Wealth Gardens",23/07/2022,
Eastern,"Tower 1, Marble Garden",23/07/2022,
Eastern,"Sui Tai House, Siu Sai Wan Estate",23/07/2022,
Eastern,"Sui Moon House, Siu Sai Wan Estate",23/07/2022,
Eastern,"Tsui Pui House, Shan Tsui Court",23/07/2022,
Eastern,"Block 2, Kornhill Gardens",23/07/2022,
Eastern,"Block 8, Kornhill Gardens",23/07/2022,
Eastern,"Block 9, Kornhill Gardens",23/07/2022,
Eastern,"Block M, Kornhill",23/07/2022,
Eastern,"Block P, Kornhill",23/07/2022,
Eastern,"Block Q, Kornhill",23/07/2022,
Eastern,"Block A, Mount Parker Lodge",23/07/2022,
Eastern,"Block C, Fortress Metro Tower",23/07/2022,
Eastern,Cornell Court,23/07/2022,
Eastern,Scenic Horizon,23/07/2022,
Eastern,"Block E, Westlands Gardens",23/07/2022,
Eastern,"Oi Ping House, Oi Tung Estate",23/07/2022,
Eastern,"Block 4, Aldrich Garden",23/07/2022,
Eastern,La Place De Victoria,23/07/2022,
Eastern,8-10 Shing On Street,23/07/2022,
Eastern,Sunway Gardens,23/07/2022,
Eastern,"Block 6, New Jade Garden",23/07/2022,
Eastern,Metropole Building,23/07/2022,
Eastern,"Block D, Metropole Building",23/07/2022,
Eastern,"Block B, Phase 2, Ming Yuen Mansions",23/07/2022,
Eastern,Ming Yuen Centre,23/07/2022,
Eastern,"Block 1, Ming Wah Dai Ha",23/07/2022,
Eastern,"Block D, Ming Wah Dai Ha",23/07/2022,
Eastern,"Bik Tsui House, Hiu Tsui Court",23/07/2022,
Eastern,"Block 19, Heng Fa Chuen",23/07/2022,
Eastern,"Block 24, Heng Fa Chuen",23/07/2022,
Eastern,"Block 37, Heng Fa Chuen",23/07/2022,
Eastern,"Block 9, Heng Fa Chuen",23/07/2022,
Eastern,"Tung Lai House, Tung Yuk Court",23/07/2022,
Eastern,"Foon Yan House, Tung Yan Court",23/07/2022,
Eastern,"King Hei House, Tung Hei Court",23/07/2022,
Eastern,"Tower 2, Fleur Pavilia",23/07/2022,
Eastern,"Wan Ying House, Chai Wan Estate",23/07/2022,
Eastern,"Block 4, Felicity Garden",23/07/2022,
Eastern,"Block C, Winner Centre",23/07/2022,
Eastern,"Sung Fung Court, Harbour Heights",23/07/2022,
Eastern,"Nam Fung Court, Harbour Heights",23/07/2022,
Eastern,"Yue Shun House, Yue Wan Estate",23/07/2022,
Eastern,Knight Court,23/07/2022,
Eastern,"Block A5, Coral Court",23/07/2022,
Eastern,"Kwai Tsui House, Wan Tsui Estate",23/07/2022,
Eastern,"Pak Kai Court, Bedford Gardens",23/07/2022,
Eastern,Maple Gardens,23/07/2022,
Eastern,"Block 3, Shaukiwan Centre",23/07/2022,
Eastern,"Tsui Luk House, Tsui Lok Estate",23/07/2022,
Eastern,"Tsui Shou House, Tsui Wan Estate",23/07/2022,
Eastern,"Tsui Ning House, Tsui Wan Estate",23/07/2022,
Eastern,"Yiu Kwai House, Yiu Tung Estate",23/07/2022,
Eastern,"Hing Cho House, Hing Tung Estate",23/07/2022,
Eastern,Hing Cheong Building,23/07/2022,
Eastern,"On Hing House, Hing Wah Estate",23/07/2022,
Eastern,"Chin Hing House, Hing Wah Estate",23/07/2022,
Eastern,"Hing Tsui House, Hing Wah Estate",23/07/2022,
Eastern,"Block A, Wah Hoi Mansion",23/07/2022,
Eastern,Wah Po Building,23/07/2022,
Eastern,"Wah Yan House, Wah Ha Estate",23/07/2022,
Eastern,"Yuk Lan Mansion, Westlands Court",23/07/2022,
Eastern,"Tower 1, Island Resort",23/07/2022,
Eastern,"Tower 3, Island Resort",23/07/2022,
Eastern,"Tower 5, Island Resort",23/07/2022,
Eastern,"Tower 9, Island Resort",23/07/2022,
Eastern,Sai Wong House,23/07/2022,
Eastern,Ho King View,23/07/2022,
Eastern,"Block 13, Braemar Hill Mansions",23/07/2022,
Eastern,"Block 8, Braemar Hill Mansions",23/07/2022,
Eastern,"Tower 2, The Orchards",23/07/2022,
Eastern,"L'Hiver, Les Saisons",23/07/2022,
Eastern,Golden Cedar Court,23/07/2022,
Eastern,"Block C, Gold Mine Building",23/07/2022,
Eastern,Kam Wah Mansion,23/07/2022,
Eastern,"Block 1, Koway Court",23/07/2022,
Eastern,"Block 3, Koway Court",23/07/2022,
Eastern,"Yee Hoi Mansion, Lei King Wan",23/07/2022,
Eastern,"Tower 2, Newton Harbour View",23/07/2022,
Eastern,Continental Mansion,22/07/2022,
Eastern,Yen Dack Building,22/07/2022,
Eastern,"Block E, Healthy Gardens",22/07/2022,
Eastern,"Ngan Hang Lau, Healthy Village",22/07/2022,
Eastern,Southern Building,22/07/2022,
Eastern,"Block 1, Nan Fung Sun Chuen",22/07/2022,
Eastern,"Block 4, Nan Fung Sun Chuen",22/07/2022,
Eastern,"Block 12A, Provident Centre",22/07/2022,
Eastern,Grand Promenade,22/07/2022,
Eastern,"Tower 2, Grand Promenade",22/07/2022,
Eastern,Ka Hing Building,22/07/2022,
Eastern,"Block 12, City Garden",22/07/2022,
Eastern,"Block 7, City Garden",22/07/2022,
Eastern,"Block 8, City Garden",22/07/2022,
Eastern,Tempo Court,22/07/2022,
Eastern,"Kwun Tien Mansion, Taikoo Shing",22/07/2022,
Eastern,"Ming Kung Mansion, Taikoo Shing",22/07/2022,
Eastern,"Wisteria Mansion, Taikoo Shing",22/07/2022,
Eastern,"Hing On Mansion, Taikoo Shing",22/07/2022,
Eastern,Tai Ming House,22/07/2022,
Eastern,Wilmont Court,22/07/2022,
Eastern,On Ming Mansion,22/07/2022,
Eastern,"Block 2, Cheerful Garden",22/07/2022,
Eastern,"Block 1, Harmony Garden",22/07/2022,
Eastern,"Block 7, Harmony Garden",22/07/2022,
Eastern,"Golden Cassia Court, Full Wealth Gardens",22/07/2022,
Eastern,Marble Garden,22/07/2022,
Eastern,"Tower 2, Marble Garden",22/07/2022,
Eastern,"Sui Keung House, Siu Sai Wan Estate",22/07/2022,
Eastern,"Tsui Lam House, Shan Tsui Court",22/07/2022,
Eastern,"Tsui Yue House, Shan Tsui Court",22/07/2022,
Eastern,Everwin Building,22/07/2022,
Eastern,"Block A, Kornhill",22/07/2022,
Eastern,"Block H, Kornhill",22/07/2022,
Eastern,"Hong Shui House, Hong Tung Estate",22/07/2022,
Eastern,"Tower 1, Greenwood Terrace",22/07/2022,
Eastern,"Tower 2, Greenwood Terrace",22/07/2022,
Eastern,"Tower 7, Greenwood Terrace",22/07/2022,
Eastern,Kin Yip Court,22/07/2022,
Eastern,Wai Lee Building,22/07/2022,
Eastern,"Oi Yat House, Oi Tung Estate",22/07/2022,
Eastern,"Block 3, Aldrich Garden",22/07/2022,
Eastern,"Block 5, Aldrich Garden",22/07/2022,
Eastern,"Block 9, Aldrich Garden",22/07/2022,
Eastern,Cheong Shing Mansion,22/07/2022,
Eastern,Fairview Court,22/07/2022,
Eastern,"Block A, Ming Fai Building",22/07/2022,
Eastern,"Ngar Tsui House, Hiu Tsui Court",22/07/2022,
Eastern,"Tsui Ching House, Hang Tsui Court",22/07/2022,
Eastern,"Tsui Ying House, Hang Tsui Court",22/07/2022,
Eastern,"Block 18, Heng Fa Chuen",22/07/2022,
Eastern,"Block 1, Heng Fa Chuen",22/07/2022,
Eastern,"Block 39, Heng Fa Chuen",22/07/2022,
Eastern,"Block 40, Heng Fa Chuen",22/07/2022,
Eastern,"Block 8, Heng Fa Chuen",22/07/2022,
Eastern,"Block 1, Eastway Towers",22/07/2022,
Eastern,"Tung King House, Tung Yuk Court",22/07/2022,
Eastern,"Tung Chi House, Tung Yuk Court",22/07/2022,
Eastern,"Wing Yan House, Tung Yan Court",22/07/2022,
Eastern,Tung Fai Building,22/07/2022,
Eastern,East Residences,22/07/2022,
Eastern,Parker 33,22/07/2022,
Eastern,"Shui Pak Mansion, Parkvale",22/07/2022,
Eastern,Wing Wah Building,22/07/2022,
Eastern,"Tower 3, Neptune Terrace",22/07/2022,
Eastern,"Block 3, Lok Hin Terrace",22/07/2022,
Eastern,"Block 2, Hoi Kwong Court",22/07/2022,
Eastern,Sea Cliff Mansions,22/07/2022,
Eastern,Harbour Grand Hong Kong,22/07/2022,
Eastern,One Island Place,22/07/2022,
Eastern,Moon Wah Building,22/07/2022,
Eastern,"Block B2, Coral Court",22/07/2022,
Eastern,Fok Cheong Building,22/07/2022,
Eastern,"Tai Woo Mansion, Tsui Woo Terrace",22/07/2022,
Eastern,Yiu Ming Building,22/07/2022,
Eastern,"Yiu On House, Yiu Tung Estate",22/07/2022,
Eastern,"Yiu Fu House, Yiu Tung Estate",22/07/2022,
Eastern,"Yiu Wah House, Yiu Tung Estate",22/07/2022,
Eastern,"Hing Hong House, Hing Tung Estate",22/07/2022,
Eastern,Hing Hon Building,22/07/2022,
Eastern,"Wo Hing House, Hing Wah Estate",22/07/2022,
Eastern,"May Wah House, Hing Wah Estate",22/07/2022,
Eastern,The Harbourside,22/07/2022,
Eastern,"Tsui Lan Mansion, Westlands Court",22/07/2022,
Eastern,"Le Printemps, Les Saisons",22/07/2022,
Eastern,Kam Wai Building,22/07/2022,
Eastern,"Block 4, Koway Court",22/07/2022,
Eastern,"Orkney, Braemar Heights",21/07/2022,
Eastern,187-193 Tsat Tsz Mui Road,21/07/2022,
Eastern,"Yiu Tsui House, Kai Tsui Court",21/07/2022,
Eastern,"Block 3, Nan Fung Sun Chuen",21/07/2022,
Eastern,Yalford Building,21/07/2022,
Eastern,Grand Garden,21/07/2022,
Eastern,"Block 9, Provident Centre",21/07/2022,
Eastern,"Tower 3, Grand Promenade",21/07/2022,
Eastern,"Block A, Ka Wai Building",21/07/2022,
Eastern,Odeon Building,21/07/2022,
Eastern,"Pak Hoi Mansion, Taikoo Shing",21/07/2022,
Eastern,"Hsia Kung Mansion, Taikoo Shing",21/07/2022,
Eastern,"Han Kung Mansion, Taikoo Shing",21/07/2022,
Eastern,"Yen Kung Mansion, Taikoo Shing",21/07/2022,
Eastern,Tai Kut House,21/07/2022,
Eastern,"Block A, Viking Villas",21/07/2022,
Eastern,"Block 3, Fullview Garden",21/07/2022,
Eastern,"Block 4, Fullview Garden",21/07/2022,
Eastern,"Fu Dat Court, Fortress Garden",21/07/2022,
Eastern,Flora Garden,21/07/2022,
Eastern,Braemar Terrace,21/07/2022,
Eastern,"Tower 10, Pacific Palisades",21/07/2022,
Eastern,"Sui Shing House, Siu Sai Wan Estate",21/07/2022,
Eastern,"Tsui Pik House, Shan Tsui Court",21/07/2022,
Eastern,"Sau Fung House, Fung Wah Estate",21/07/2022,
Eastern,Fortuna Building,21/07/2022,
Eastern,"Block B, Fortuna Building",21/07/2022,
Eastern,"Block 6, Kornhill Gardens",21/07/2022,
Eastern,"Block J, Kornhill",21/07/2022,
Eastern,"Block K, Kornhill",21/07/2022,
Eastern,"Tower 5, Greenwood Terrace",21/07/2022,
Eastern,"Tower 2, Kornville",21/07/2022,
Eastern,Royal Terrace,21/07/2022,
Eastern,Elegance House,21/07/2022,
Eastern,Hang Ying House,21/07/2022,
Eastern,"Block 4, New Jade Garden",21/07/2022,
Eastern,"Block 5, New Jade Garden",21/07/2022,
Eastern,"Block 28, Heng Fa Chuen",21/07/2022,
Eastern,"Block 29, Heng Fa Chuen",21/07/2022,
Eastern,"Block 34, Heng Fa Chuen",21/07/2022,
Eastern,"Block 7, Heng Fa Chuen",21/07/2022,
Eastern,"Wah Hei House, Tung Hei Court",21/07/2022,
Eastern,"Tower 3, Fleur Pavilia",21/07/2022,
Eastern,"Block 2, Felicity Garden",21/07/2022,
Eastern,Circle Court,21/07/2022,
Eastern,Wing Wah House,21/07/2022,
Eastern,"Block 1, Hoi Kwong Court",21/07/2022,
Eastern,"Tower 2, Sky Horizon",21/07/2022,
Eastern,Ching Wah Building,21/07/2022,
Eastern,Corn Yan Centre,21/07/2022,
Eastern,Bayview Park,21/07/2022,
Eastern,Empire Apartments,21/07/2022,
Eastern,"Mei Tsui House, Wan Tsui Estate",21/07/2022,
Eastern,"Wai Tsui House, Wan Tsui Estate",21/07/2022,
Eastern,"Pak Cheung Court, Bedford Gardens",21/07/2022,
Eastern,Yick Cheong Building,21/07/2022,
Eastern,"Lai Yee Court, Shaukeiwan Plaza",21/07/2022,
Eastern,341 Shau Kei Wan Road,21/07/2022,
Eastern,May Wei Mansion,21/07/2022,
Eastern,Maylun Apartments,21/07/2022,
Eastern,"Yiu Lok House, Yiu Tung Estate",21/07/2022,
Eastern,"Yiu Fook House, Yiu Tung Estate",21/07/2022,
Eastern,"Yiu Fung House, Yiu Tung Estate",21/07/2022,
Eastern,"Man Fu House, Hing Man Estate",21/07/2022,
